english,japanese,pt-BR,sv-SE
Blood Rain,ブラッドレイン,Chuva de Sangue,Blodsregn
Code Break,コードブレイク,Quebra de Código,Kodbrytning
Dead End,デッドエンド,Fim Mortífero,Återvändsgränd
Dismember Legion,ディスメンバーレギオン,Legião Dismembrada,Slita isär legionen
Rebellious Truth,リベリオントゥルース,Verdade Rebeliosa,Upprorisk sanning
Second Ruin,セカンドルーイン,Segunda Ruína,Andra ruinen
Sky-high Edge,スカイハイエッジ,Lâmina do Céu Alto,Himlens egg
Thunder Break,サンダーブレイク,Quebra Trovão,Åskknack
Ravaging Rush,バックワードフロウ,Investida Devastadora,
Deadly Raid,デッドリーレイド,Ataque Mortal,
Soul Shaker,ソウルシェイカー,Abalo da Alma,
Overhammer,オーバーハンマー,Supermartelo,
Earth Break,アースブレイク,Quebra-Terra,
Immortal Blow,イモータルブロウ,Golpe Imortal,
Smashing Hammer,バスターハンマー,Martelo Esmagador,
Blood Chisel,ブラッドハーケン,Cinzel de Sangue,
Thunder Arrow,サンダーアロー,Flecha Trovão,
Absolute Wave,アブソリュートウェイブ,Onda Absoluta,
Killing Thorn,レイティングソーン,Espinho Mortal,
Thunder Fall,サンダーフォール,Queda Trovão,
Freezing Lance,フリージングランサー,Lança Congelante,
High Wind,ハイウインド,Ventania,
Wrenching Swing,レンチングスイング,Golpe Torcido,
Spinning Back-Knuckle,スピニングバックナックル,Soco Giratório,
Total End,トータルエンド,Fim Total,
Storm Edge,ストームエッジ,Lâmina da Tormenta,
Wild Break,インクレブルエイク,Quebra Selvagem,
Lost Life,ロストライフ,Vida Perdida,
Hurricane Edge,ストリームエッジ,Lâmina do Furacão,
Heavyweight,ヘビーウェイト,Peso-Pesado,
Double Swing,ダブルスイング,Golpe Duplo,
Absolute Strike,アブソリュートグランス,Ataque Absoluto,
Ground Edge,グランドエッジ,Lâmina Terrestre,
Full Swing,フルスイング,Golpe Pleno,
Spin Edge,スピンエッジ,Lâmina Giratória,
Twister Swing,ツイスタースイング,Golpe Tornado,
High Spike,ハイエンドスパイク,Cravada Alta,
Hurricane Bolt,ハリケーンボルト,Disparo Furacão,
Trial of Existence,イグジスタンストライアル,Prova da Existência,
Downward Split,スプリットダウン,Corte Descendente,
Entrapment,クライムアトラクター,Armadilha,
Furious Advance,アドヴァンスフューリアス,Avanço Furioso,
Hurricane Raid,ハリケーンレイド,Ataque Furacão,
Armor Break,アーマーブレイク,Quebra-Armadura,
Endangerment,フォースアトラクター,Ameaça,
Over Arc,オーバーアーク,Arco Supremo,
Bolt Slash,ボルトスラッシュ,Corte Relâmpago,
Vertical Raid,バーティカルレイド,Ataque Vertical,
Glowing Pierce,グロウイングピアス,Perfuração Radiante,
Grim Force,グリムフォース,Força Sombria,
Succession Slide,サクセッションスライド,Deslize Sucessivo,
Ptero Attack,ハイウインドラプター,Ataque Ptero,
Multiple Attack,マルチプルアタック,Ataque Múltiplo,
Moment Slide,モーメントスライド,Deslize Instantâneo,
Feather Sail,フェザーセイル,Vela de Pluma,
Cutting Edge,カッティングエッジ,Fio Cortante,
Imperious Act,インプライリアクト,Ato Imperioso,
Spiral Pierce,スパイラルピアス,Perfuração Espiral,
Gale Winds,ガストウインドウ,Vendaval,
Turnaround,ターンアラウンド,Reviravolta,
Cross Slash,クロスラッシュ,Corte Cruzado,
Mirage Pierce,ミラージュピアス,Perfuração Miragem,
Deep Impact,ディープインパクト,Impacto Profundo,
Crimson Strike,ルージュストライク,Golpe Carmesim,
Flank Attack,サイドフラップ,Ataque de Flanco,
Mobius Slide,メビウスライド,Deslize Mobius,
Smackdown,スラップビート,Pancada,
Mystic Chain,ミスティックチェイン,Corrente Mística,
Heavenly Punishment,ヘブンリィパニッシュメント,Punição Celestial,
Crisis Point,クライシスポイント,Ponto Crítico,
Burst Shot,バーストショット,Tiro Explosivo,
Victory Sword,ビクトリーソード,Espada da Vitória,
Thunder Strike,サンダーストライク,Golpe Trovão,
Sunset Luster,サンセットラスター,Brilho do Poente,
Assault Step,アサルトステップ,Passo de Assalto,
Descending Sword,レイダウンソード,Espada Descendente,
Overspin,オーバースピン,Supergiro,
Mist Phantom,ミスティファントム,Fantasma da Névoa,
Sneaky Throw,サプライズスロー,Arremesso Furtivo,
Holy Smite,ホーリースマイト,Golpe Sagrado,
Ascending Sword,レイアップソード,Espada Ascendente,
Energy Steal,エナジースティール,Roubo de Energia,
Shadow Snap,シャドウスナップ,Estalo Sombrio,
Magic Lock,マジックロック,Trava Mágica,
Resonating Pain,レゾネイトペイン,Dor Ressonante,
Soul Pierce,ソウルピアシング,Perfura-Alma,
Tri Crusade,トライクルセイド,Tricruzada,
Double Wind,ダブルウインド,Vento Duplo,
Sideswiper,サイドスイングカット,Golpe Lateral,
Structural Shot,ストラクチャーシュート,Tiro Estrutural,
Sweep Dive,スウィープダイブ,Mergulho Rasante,
Iron Bash,アイアンバッシュ,Pancada de Ferro,
Overhand Left,オーバーレフト,Esquerda por Cima,
Spinal Current,カーレントスパイン,Corrente Espinhal,
Bloody Cascade,ブラッディカスケード,Cascata Sangrenta,
Arm Breaker,アームドブレイク,Quebra-Braço,
Disassemble,リムーブハード,Desmonte,
Lower Split,ロウアースプリット,Corte Baixo,
Forbid Sound,フォービッドノイズ,Som Proibido,
Quick Stab,クイックスタッブ,Estocada Rápida,
Dreaded Radius,ドレイディッドラディアス,Raio Temido,
Blast Kick,ブラストキック,Chute Explosivo,
Smashing Swing,バスタースイング,Golpe Esmagador,
Dual Tusks,デュアルタスク,Presas Duplas,
Poison Shot,ポイズンシュート,Tiro Venenoso,
Stardust,スターダスト,Poeira Estelar,
Aiming Wisp,エイミングウィスプ,Fagulha Guiada,
Rising Wisp,ライジングウィスプ,Fagulha Ascendente,
Binding Distortion,リストリクトディストーション,Distorção Restritiva,
Flame Shot,フレイムシュート,Tiro Flamejante,
Wave Motion,ウェイブモーション,Movimento Ondular,
Shrapnel Shatter,フレークフラップ,Estilhaços,
Three-way Attack,スリーウェイ,Ataque Triplo,
Single Shot,シングルショット,Tiro Único,
Stony Decree,ウェザリングオーダー,Decreto Pétreo,
Flare Blast,フレアシュート,Rajada Ígnea,
Target Throat,スロートシュート,Mira na Garganta,
