english,japanese,pt-BR,sv-SE
Pale Flare,ペイルフレアー,Ignição Pálida,Blek flamma
Phantom Destruction,ファントムデストラクシヨン,Destruição Fantasma,Fantomförstörelse
Nibelung Valesti,ニーベルン・ヴァレスティ,Nibelung Valesti,
Violent Rage,バイオレントレイジ,Fúria Violenta,
Blinding Blaze,アスタニッシュグリッツ,Chama Ofuscante,
Final Blast,ファイナリティブラスト,Explosão Final,
Bloody Curse,ブラッディカリス,Maldição Sangrenta,
Desperate Horror,デスペアーフライト,Horror Desesperado,
Grim Malice,グリムマリス,Malícia Sombria,
Spiritual Lancer,スピリチュアルランサー,Lanceiro Espiritual,
Ether Strike,エーテルストライク,Golpe Etéreo,
Animate Earth,グランドトリガー,Terra Viva,
Tidal Wave,タイダルウェイブ,Maremoto,
Gravity Blessing,プリシードグラビティ,Bênção da Gravidade,
Maleficent Harm,グローディハーム,Dano Maléfico,
Meteor Swarm,メテオスウォーム,Chuva de Meteoros,
Soul Evocation,ソウルエボケーション,Evocação da Alma,
Whirling Ripper,ウィーリングリッパー,Retalhador Giratório,
Pulverizing Storm,クランブルガスト,Rajada Pulverizante,
Sublime Horn,サプライズホーン,Chifre Sublime,
Fire Storm,バーンストーム,Tempestade de Fogo,
Frigid Damsel,クールダンセル,Donzela Gélida,
Lightning Bolt,ライトニングボルト,Relâmpago,
Poison Blow,ポイズンブロウ,Sopro Venenoso,
Prismatic Missile,プリズミックミサイル,Projétil Prismático,
Dark Savior,ダークセイヴァー,Salvador Sombrio,
Astral Maze,アストラルメイズ,Labirinto Astral,
Spiritual Thorn,スピリチュアルソーン,Espinho Espiritual,
Heal,キュアプラムス,Cura,
Normalize,オーディナリーシェイプ,Normalizar,
Invoke Feather,エヴォークフェザー,Invocar Pluma,
Sap Power,レデュースパワー,Drenar Força,
Sap Guard,レデュースガード,Drenar Defesa,
Chaotic Rune,カオティックルーン,Runa Caótica,
Might Reinforce,マイトレインフォース,Reforço de Força,
Guard Reinforce,ガードレインフォース,Reforço de Guarda,
Spell Reinforce,スペルレインフォース,Reforço de Magia,
Reflect Sorcery,リフレクトソーサリー,Refletir Feitiço,
Dampen Magic,プリベントソーサリー,Abafar Magia,
Trap Magic,,Magia Armadilha,
Explosion,エクスプロージョン,Explosão,
Glacial Blizzard,グラシアルブリザード,Nevasca Glacial,
Earth Grave,アースグレイブ,Túmulo de Terra,
Thunder Storm,サンダーストーム,Tempestade de Raios,
